ScripCode,TradingSymbol,Description,InstrumentType
3149,BORORENEW-EQ,BOROSIL RENEWABLES LTD,0
24014,BOROSCI-EQ,BOROSIL SCIENTIFIC LTD,0
2181,BOSCHLTD-EQ,BOSCH LIMITED,0
526,BPCL-EQ,BHARAT PETROLEUM CORP  LT,0
530,BPL-EQ,BPL LTD,0
15184,BRIGADE-EQ,BRIGADE ENTER. LTD,0
547,BRITANNIA-EQ,BRITANNIA INDUSTRIES LTD,0
21687,BRNL-BE,BHARAT ROAD NETWORK LTD,0
25140,BROOKS-BE,BROOKS LAB LIMITED,0
19585,BSE-EQ,BSE LIMITED,0
3001,BSE500IETF-EQ,ICICIPRAMC - ICICI500,0
809,BSHSL-EQ,BOMBAY SUPER HYBRID SEEDS,0
559,BSL-EQ,BSL LTD,0
23804,BSLGOLDETF-EQ,ADITYBIRLA SL GOLD ETF-GR,0
24781,BSLNIFTY-EQ,ADITYBIRLA SL NIF ETF-GR,0
5957,BSLSENETFG-EQ,BIRLASLAMC - BSLSENETFG,0
6994,BSOFT-EQ,BIRLASOFT LIMITED,0
14152,BTML-BE,BODHI TREE MULTIMEDIA LTD,0
15198,BURNPUR-BE,BURNPUR CEMENT LTD.,0
2716,BUTTERFLY-EQ,BTRFLY GANDHI APPL LTD,0
15073,BVCL-EQ,BARAK VALLEY CEM. LTD.,0
7930,BYKE-BE,THE BYKE HOSPITALITY LTD,0
21824,CADSYS-ST,CADSYS (INDIA) LIMITED,0
8400,CALSOFT-BE,CALIFORNIA SOFTWARE CO LT,0
6216,CAMLINFINE-EQ,CAMLIN FINE SCIENCES LTD,0
9362,CAMPUS-EQ,CAMPUS ACTIVEWEAR LIMITED,0
342,CAMS-EQ,COMPUTER AGE MNGT SER LTD,0
19368,CANARYS-SM,CANARYS AUTOMATIONS LTD,0
10794,CANBK-EQ,CANARA BANK,0
583,CANFINHOME-EQ,CAN FIN HOMES LTD,0
20160,CANTABIL-EQ,CANTABIL RETAIL LTD,0
21749,CAPACITE-EQ,CAPACITE INFRAPROJECT LTD,0
22675,CAPITALSFB-EQ,CAPITAL SMALL FIN BANK L,0
3906,CAPLIPOINT-EQ,CAPLIN POINT LAB LTD.,0
19447,CAPTRUST-EQ,CAPITAL TRUST LIMITED,0
595,CARBORUNIV-EQ,CARBORUNDUM UNIVERSAL LTD,0
20086,CAREERP-EQ,CAREER POINT LIMITED,0
29113,CARERATING-EQ,CARE RATINGS LIMITED,0
5407,CARTRADE-EQ,CARTRADE TECH LIMITED,0
1879,CARYSIL-EQ,CARYSIL LIMITED,0
1250,CASTROLIND-EQ,CASTROL INDIA LIMITED,0
20406,CBAZAAR-SM,NET AVENUE TECHNOLOGIES L,0
6403,CCHHL-BE,COUNTRY CLUB HOSP HOL LTD,0
11452,CCL-EQ,CCL PRODUCTS (I) LTD,0
21174,CDSL-EQ,CENTRAL DEPO SER (I) LTD,0
15254,CEATLTD-EQ,CEAT LIMITED,0
13162,CELEBRITY-EQ,CELEBRITY FASHIONS LTD,0
18806,CELLECOR-SM,CELLECOR GADGETS LIMITED,0
19795,CELLO-EQ,CELLO WORLD LIMITED,0
16950,CELLPOINT-SM,CELL POINT (INDIA) LTD,0
619,CENTENKA-EQ,CENTURY ENKA LTD,0
11511,CENTEXT-EQ,CENTURY EXTRUSIONS LTD,0
14894,CENTRALBK-EQ,CENTRAL BANK OF INDIA,0
2454,CENTRUM-EQ,CENTRUM CAPITAL LIMITED,0
14982,CENTUM-EQ,CENTUM ELECTRONICS LTD,0
13305,CENTURYPLY-EQ,CENTURY PLYBOARDS (I) LTD,0
625,CENTURYTEX-EQ,CENTURY TEXTILES LTD,0
15039,CERA-EQ,CERA SANITARYWARE LTD,0
30016,CEREBRAINT-BE,CEREBRA INT TECH LTD,0
628,CESC-EQ,CESC LTD,0
20329,CGCL-EQ,CAPRI GLOBAL CAPITAL LTD,0
760,CGPOWER-EQ,CG POWER AND IND SOL LTD,0
23468,CGRAPHICS-SM,CREATIVE GRAPHICS S IND L,0
8546,CHALET-EQ,CHALET HOTELS LIMITED,0
637,CHAMBLFERT-EQ,CHAMBAL FERTILIZERS LTD,0
18654,CHAVDA-SM,CHAVDA INFRA LIMITED,0
14618,CHEMBOND-EQ,CHEMBOND CHEMICALS LTD,0
270,CHEMCON-EQ,CHEMCON SPECIAL CHEM LTD,0
2799,CHEMFAB-EQ,CHEMFAB ALKALIS LIMITED,0
5449,CHEMPLASTS-EQ,CHEMPLAST SANMAR LIMITED,0
2049,CHENNPETRO-EQ,CHENNAI PETROLEUM CORP LT,0
9879,CHEVIOT-EQ,CHEVIOT COMPANY LIMITED,0
8866,CHOICEIN-EQ,CHOICE INTERNATIONAL LTD,0
685,CHOLAFIN-EQ,CHOLAMANDALAM IN & FIN CO,0
21740,CHOLAHLDNG-EQ,CHOLAMANDALAM FIN HOL LTD,0
14937,CIEINDIA-EQ,CIE AUTOMOTIVE INDIA LTD,0
5142,CIGNITITEC-EQ,CIGNITI TECHNOLOGIES LTD,0
27161,CINELINE-EQ,CINELINE INDIA LIMITED,0
8028,CINEVISTA-BE,CINEVISTA LIMITED,0
694,CIPLA-EQ,CIPLA LTD,0
5049,CLEAN-EQ,CLEAN SCIENCE & TECH LTD,0
20223,CLEDUCATE-EQ,CL EDUCATE LIMITED,0
11179,CLOUD-SM,VARANIUM CLOUD LIMITED,0
3482,CLSEL-EQ,CHAMAN LAL SETIA EXP LTD,0
18260,CLSL-SM,CROP LIFE SCIENCE LIMITED,0
19676,CMICABLES-BZ,CMI LIMITED,0
99,CMMIPL-ST,CMM INFRAPROJECTS LIMITED,0
13731,CMNL-SM,CHAMAN METALLICS LIMITED,0
11447,CMRSL-SM,CYBER MEDIA RES & SER LTD,0
7603,CMSINFO-EQ,CMS INFO SYSTEMS LIMITED,0
20374,COALINDIA-EQ,COAL INDIA LTD,0
6006,COASTCORP-EQ,COASTAL CORPORATION LTD,0
21508,COCHINSHIP-EQ,COCHIN SHIPYARD LIMITED,0
11165,COFFEEDAY-EQ,COFFEE DAY ENTERPRISE LTD,0
11543,COFORGE-EQ,COFORGE LIMITED,0
15141,COLPAL-EQ,COLGATE PALMOLIVE LTD.,0
19513,COMMITTED-SM,COMMITTED CARGO CARE LTD,0
13198,COMMOIETF-EQ,ICICIPRAMC - ICICICOMMO,0
19670,COMPINFO-BZ,COMPUAGE INFOCOM LTD,0
31138,COMPUSOFT-EQ,COMPUCOM SOFTWARE LTD,0
21578,COMSYN-EQ,COMMERCIAL SYN BAGS LTD,0
4749,CONCOR-EQ,CONTAINER CORP OF IND LTD,0
18060,CONCORDBIO-EQ,CONCORD BIOTECH LIMITED,0
10238,CONFIPET-EQ,CONFIDENCE PETRO IND LTD.,0
10512,CONS-EQ,KOTAKMAMC - KOTAKCONS,0
11731,CONSOFINVT-EQ,CONSO. FIN. & HOLD. LTD.,0
2435,CONSUMBEES-EQ,NIP IND ETF CONSUMPTION,0
6446,CONSUMIETF-EQ,ICICIPRAMC - ICICICONSU,0
2531,CONTI-SM,CONTINENTAL SEED CHEM LTD,0
17477,CONTROLPR-EQ,CONTROL PRINT LIMITED,0
8560,COOLCAPS-SM,COOL CAPS INDUSTRIES LTD,0
4007,CORALFINAC-EQ,CORAL INDIA FIN & HOUS LT,0
15275,CORDSCABLE-BE,CORDS CABLE INDUS LTD.,0
739,COROMANDEL-EQ,COROMANDEL INTERNTL. LTD,0
742,COSMOFIRST-EQ,COSMO FIRST LIMITED,0
16986,COUNCODOS-EQ,COUNTRY CONDO S LIMITED,0
18380,CPS-ST,C P S SHAPERS LIMITED,0
2328,CPSEETF-EQ,CPSE ETF,0
2854,CRAFTSMAN-EQ,CRAFTSMAN AUTOMATION LTD,0
16419,CRAYONS-SM,CRAYONS ADVERTISING LTD,0
11155,CREATIVE-EQ,CREATIVE NEWTECH LIMITED,0
9388,CREATIVEYE-BE,CREATIVE EYE LIMITED,0
4421,CREDITACC-EQ,CREDITACCESS GRAMEEN LTD,0
13900,CREST-EQ,CREST VENTURES LIMITED,0
757,CRISIL-EQ,CRISIL LTD,0
17094,CROMPTON-EQ,CROMPT GREA CON ELEC LTD,0
8097,CROWN-BE,CROWN LIFTERS LIMITED,0
14966,CSBBANK-EQ,CSB BANK LIMITED,0
10350,CSLFINANCE-EQ,CSL FINANCE LIMITED,0
14218,CTE-EQ,CAMBRIDGE TECH ENTER LTD,0
5701,CUB-EQ,CITY UNION BANK LTD,0
15078,CUBEINVIT-IV,CUBE HIGHWAYS TRUST,0
9881,CUBEXTUB-BE,CUBEXTUBINGS-ROLLSETT,0
1901,CUMMINSIND-EQ,CUMMINS INDIA LTD,0
18524,CUPID-BE,CUPID LIMITED,0
11845,CYBERMEDIA-BE,CYBER MEDIA (INDIA) LTD.,0
6051,CYBERTECH-EQ,CYBERTECH SYSTEMS & SOFTW,0
5748,CYIENT-EQ,CYIENT LIMITED,0
17187,CYIENTDLM-EQ,CYIENT DLM LIMITED,0
772,DABUR-EQ,DABUR INDIA LTD,0
8075,DALBHARAT-EQ,DALMIA BHARAT LIMITED,0
781,DALMIASUG-EQ,DALMIA BHARAT SUG IN LTD,0
17541,DAMODARIND-EQ,DAMODAR INDUSTRIES LTD,0
1110,DANGEE-EQ,DANGEE DUMS LIMITED,0
11423,DATAMATICS-EQ,DATAMATICS GLOBAL SER LTD,0
7358,DATAPATTNS-EQ,DATA PATTERNS INDIA LTD,0
21794,DAVANGERE-EQ,DAVANGERE SUGAR COMPANY L,0
17881,DBCORP-EQ,D.B.CORP LTD,0
18086,DBL-EQ,DILIP BUILDCON LIMITED,0
10893,DBOL-EQ,DHAMPUR BIO ORGANICS LTD,0
18124,DBREALTY-EQ,VALOR ESTATE LIMITED,0
31107,DBSTOCKBRO-EQ,DB (INT) STOCK BROKERS,0
21704,DCAL-EQ,DISHMAN CARBO AMCIS LTD,0
13725,DCBBANK-EQ,DCB BANK LIMITED,0
23520,DCG-SM,DCG CABLES & WIRES LTD,0
11568,DCI-BE,DC INFOTECH AND COMUN LTD,0
805,DCM-EQ,DCM LTD,0
8704,DCMFINSERV-BE,DCM FINANCIAL SERVICES LT,0
11039,DCMNVL-EQ,DCM NOUVELLE LIMITED,0
811,DCMSHRIRAM-EQ,DCM SHRIRAM LIMITED,0
7325,DCMSRIND-EQ,DCM SHRIRAM IND LTD,0
817,DCW-EQ,DCW LTD,0
11895,DCXINDIA-EQ,DCX SYSTEMS LIMITED,0
14838,DECCANCE-EQ,DECCAN CEMENTS LIMITED,0
24154,DEEDEV-EQ,DEE DEVELOPMENT ENG LTD,0
22799,DEEM-SM,DEEM ROLL TECH LIMITED,0
827,DEEPAKFERT-EQ,DEEPAK FERTILIZERS & PETR,0
19943,DEEPAKNTR-EQ,DEEPAK NITRITE LTD,0
18244,DEEPENR-EQ,DEEP ENE RESOURCES LTD,0
3292,DEEPINDS-EQ,DEEP INDUSTRIES LIMITED,0
22527,DELAPLEX-SM,DELAPLEX LIMITED,0
9599,DELHIVERY-EQ,DELHIVERY LIMITED,0
24395,DELPHIFX-BE,DELPHI WORLD MONEY LTD,0
15044,DELTACORP-EQ,DELTA CORP LIMITED,0
1214,DELTAMAGNT-EQ,DELTA MANUFACTURING LTD,0
17722,DEN-EQ,DEN NETWORKS LTD,0
15449,DENEERS-SM,DE NEERS TOOLS LIMITED,0
4279,DENORA-EQ,DE NORA INDIA LIMITED,0
16454,DENTALKART-SM,VASA DENTICITY LIMITED,0
6092,DESTINY-ST,DESTINY LOGISTICS & I LTD,0
8146,DEVIT-EQ,DEV INFO TECHNOLOGY LTD,0
5373,DEVYANI-EQ,DEVYANI INTERNATIONAL LTD,0
10358,DGCONTENT-BE,DIGICONTENT LIMITED,0
857,DHAMPURSUG-EQ,DHAMPUR SUGAR MILLS LTD.,0
11359,DHANBANK-EQ,DHANLAXMI BANK LIMITED,0
15384,DHANI-EQ,DHANI SERVICES LIMITED,0
24409,DHANUKA-EQ,DHANUKA AGRITECH LTD,0
13001,DHARMAJ-EQ,DHARMAJ CROP GUARD LTD,0
6860,DHRUV-BE,DHRUV CONSULTANCY SER LTD,0
22533,DHTL-SM,DOCMODE HEALTH TECH LTD,0
22233,DHUNINV-EQ,DHUNSERI INVESTMENTS LTD,0
18545,DIACABS-BE,DIAMOND POWER INFRA LTD,0
18644,DIAMINESQ-EQ,DIAMINES & CHEMICALS LTD,0
21840,DIAMONDYD-EQ,PRATAAP SNACKS LIMITED,0
703,DICIND-EQ,DIC INDIA LIMITED,0
21256,DIGIDRIVE-BE,DIGIDRIVE DISTRIBUTORS L,0
19138,DIGIKORE-SM,DIGIKORE STUDIOS LIMITED,0
16683,DIGISPICE-EQ,DIGISPICE TECHNOLOGIES LT,0
6136,DIGJAMLMTD-BE,DIGJAM LTD,0
8657,DIL-EQ,DEBOCK INDUSTRIES LIMITED,0
14537,DISHTV-EQ,DISH TV INDIA LTD.,0
14479,DIVGIITTS-EQ,DIVGI TORQTRANSFER SYST L,0
10940,DIVISLAB-EQ,DIVI S LABORATORIES LTD,0
2636,DIVOPPBEES-EQ,NIP IND ETF DIV OPP,0
21690,DIXON-EQ,DIXON TECHNO (INDIA) LTD,0
12753,DJML-BE,DJ MEDIAPRINT & LOG LTD,0
6249,DKEGL-SM,D K ENTERPRISES GLOBAL L,0
14732,DLF-EQ,DLF LIMITED,0
17851,DLINKINDIA-EQ,D-LINK INDIA LTD,0
19913,DMART-EQ,AVENUE SUPERMARTS LIMITED,0
6973,DMCC-EQ,DMCC SPECIALITY CHEMICALS,0
641,DNAMEDIA-EQ,DILIGENT MEDIA CORP LTD.,0
4822,DODLA-EQ,DODLA DAIRY LIMITED,0
12124,DOLATALGO-EQ,DOLAT ALGOTECH LIMITED,0
20560,DOLLAR-EQ,DOLLAR INDUSTRIES LIMITED,0
13323,DOLLEX-SM,DOLLEX AGROTECH LIMITED,0
18136,DOLPHIN-BE,DOLPHIN OFF ENT (IND) L,0
20551,DOMS-EQ,DOMS INDUSTRIES LIMITED,0
13839,DONEAR-EQ,DONEAR IND. LIMITED,0
936,DPABHUSHAN-EQ,D. P. ABHUSHAN LIMITED,0
24289,DPEL-ST,DIVINE POWER ENERGY LTD,0
15419,DPSCLTD-EQ,DPSC LIMITED,0
16900,DPWIRES-EQ,D P WIRES LIMITED,0
2651,DRCSYSTEMS-BE,DRC SYSTEMS INDIA LIMITED,0
10859,DREAMFOLKS-EQ,DREAMFOLKS SERVICES LTD,0
11271,DREDGECORP-EQ,DREDGING CORP OF INDIA,0
18769,DRL-SM,DHANUKA REALTY LIMITED,0
17372,DRONE-SM,DRONE DESTINATION LIMITED,0
881,DRREDDY-EQ,DR. REDDY S LABORATORIES,0
23488,DRSCARGO-ST,DRS CARGO MOVERS LIMITED,0
6686,DRSDILIP-SM,DRS DILIP ROADLINES LTD.,0
25690,DSSL-EQ,DYNACONS SYS & SOLN LTD,0
6227,DTIL-EQ,DHUNSERI TEA & IND. LTD.,0
24316,DTL-ST,DIENSTEN TECH LIMITED,0
13766,DUCOL-SM,DUCOL ORGS AND COLOURS LT,0
28956,DUCON-BE,DUCON INFRATECHNOLOGIES L,0
5457,DUGLOBAL-SM,DUDIGITAL GLOBAL LIMITED,0
24167,DURLAX-ST,DURLAX TOP SURFACE LTD,0
15214,DVL-EQ,DHUNSERI VENTURES LIMITED,0
11667,DWARKESH-EQ,DWARIKESH SUGAR IND LTD,0
10417,DYCL-EQ,DYNAMIC CABLES LIMITED,0
4525,DYNAMATECH-EQ,DYNAMATIC TECHNOLOGIES,0
6079,DYNAMIC-SM,DYNAMIC SRVCS & SEC LTD,0
21314,DYNPRO-EQ,DYNEMIC PRODUCTS LIMITED,0
8940,E2E-BE,E2E NETWORKS LIMITED,0
2792,EASEMYTRIP-EQ,EASY TRIP PLANNERS LTD,0
22243,EBBETF0425-EQ,EDELAMC - EBBETF0425,0
16253,EBBETF0430-EQ,EDELAMC - EBBETF0430,0
22239,EBBETF0431-EQ,EDELAMC - EBBETF0431,0
13139,EBBETF0433-EQ,EDELAMC - EBBETF0433,0
15179,ECLERX-EQ,ECLERX SERVICES LTD,0
15119,EDELWEISS-EQ,EDELWEISS FIN SERV LTD,0
21747,EDUCOMP-BZ,EDUCOMP SOLUTIONS LTD,0
19267,EFACTOR-SM,E FACTOR EXPERIENCES LTD,0
20899,EFORCE-SM,ELECTRO FORCE (INDIA) LTD,0
19933,EGOLD-EQ,EDELAMC - EGOLD,0
910,EICHERMOT-EQ,EICHER MOTORS LTD,0
916,EIDPARRY-EQ,EID PARRY INDIA LTD,0
6040,EIFFL-EQ,EURO (I) FRESH FOODS LTD,0
15399,EIHAHOTELS-EQ,EIH ASSOCIATED HOTELS LTD,0
919,EIHOTEL-EQ,EIH LIMITED,0
7915,EIMCOELECO-BE,EIMCO ELECON (INDIA) LTD,0
13091,EKC-EQ,EVEREST KANTO CYLINDERLTD,0
8953,ELDEHSG-EQ,ELDECO HSG & IND LTD.,0
13643,ELECON-EQ,ELECON ENG. CO. LTD,0
928,ELECTCAST-EQ,ELECTROSTEEL CASTINGS LTD,0
14902,ELECTHERM-BE,ELECTROTHERM (I) LTD.,0
937,ELGIEQUIP-EQ,ELGI EQUIPMENTS LTD,0
24928,ELGIRUBCO-BE,ELGI RUBBER CO. LTD,0
13423,ELIN-EQ,ELIN ELECTRONICS LIMITED,0
13517,EMAMILTD-EQ,EMAMI LIMITED,0
10074,EMAMIPAP-EQ,EMAMI PAPER MILLS LIMITED,0
19277,EMAMIREAL-EQ,EMAMI REALTY LIMITED,0
9383,EMBASSY-RR,EMBASSY OFFICE PARKS REIT,0
14450,EMBDL-EQ,EQUINOX INDIA DEV LTD,0
11530,EMIL-EQ,ELECTRONICS MART IND LTD,0
13424,EMKAY-BE,EMKAY GLOBAL FIN SERV LTD,0
10253,EMKAYTOOLS-SM,EMKAY TAP & CUT. TOOL LTD,0
18142,EMMBI-EQ,EMMBI INDUSTRIES LIMITED,0
23745,EMMIL-SM,ENERGY MISSION MACH IND L,0
18593,EMSLIMITED-EQ,EMS LIMITED,0
9756,EMUDHRA-EQ,EMUDHRA LIMITED,0
18822,ENDURANCE-EQ,ENDURANCE TECHNO. LTD.,0
15049,ENERGYDEV-EQ,ENERGY DEVE. CO.LTD,0
23224,ENFUSE-SM,ENFUSE SOLUTIONS LIMITED,0
4907,ENGINERSIN-EQ,ENGINEERS INDIA LTD,0
13192,ENIL-EQ,ENTERTAIN NET. IND. LTD.,0
23230,ENSER-SM,ENSER COMMUNICATIONS LTD,0
22717,ENTERO-EQ,ENTERO HEALTHCARE SOLU L,0
22463,EPACK-EQ,EPACK DURABLE LIMITED,0
5382,EPIGRAL-EQ,EPIGRAL LIMITED,0
981,EPL-EQ,EPL LIMITED,0
6606,EQUAL50ADD-EQ,DSPAMC - DSPNEWETF,0
3553,EQUIPPP-BE,EQUIPPP SOC IMP TECH LTD,0
913,EQUITASBNK-EQ,EQUITAS SMALL FIN BNK LTD,0
21154,ERIS-EQ,ERIS LIFESCIENCES LIMITED,0
20080,EROSMEDIA-EQ,EROS INTL MEDIA LTD,0
955,ESABINDIA-EQ,ESAB INDIA LTD,0
19878,ESAFSFB-EQ,ESAF SMALL FINANCE BANK L,0
22764,ESCONET-SM,ESCONET TECHNOLOGIES LTD,0
958,ESCORTS-EQ,ESCORTS KUBOTA LIMITED,0
17084,ESFL-SM,ESSEN SPECIALITY FILMS L,0
1200,ESG-EQ,MIRAEAMC - MAESGETF,0
20257,ESILVER-EQ,EDELAMC - ESILVER,0
25634,ESSARSHPNG-EQ,ESSAR SHIPPING LTD,0
30327,ESSENTIA-BE,INTEGRA ESSENTIA LIMITED,0
24265,ESTER-EQ,ESTER INDUSTRIES LTD,0
9750,ETHOSLTD-EQ,ETHOS LIMITED,0
7331,EUROBOND-SM,EURO PANEL PRODUCTS LTD,0
999,EUROTEXIND-EQ,EUROTEX INDUSTRIES LTD,0
11782,EVEREADY-EQ,EVEREADY INDS. IND.  LTD.,0
993,EVERESTIND-EQ,EVEREST INDUSTRIES LTD,0
17380,EXCEL-BE,EXCEL REALTY N INFRA LTD,0
11471,EXCELINDUS-EQ,EXCEL INDUSTRIES LTD,0
22947,EXICOM-EQ,EXICOM TELE SYSTEMS LTD,0
676,EXIDEIND-EQ,EXIDE INDUSTRIES LTD,0
17486,EXPLEOSOL-EQ,EXPLEO SOLUTIONS LIMITED,0
5352,EXXARO-EQ,EXXARO TILES LIMITED,0
1008,FACT-EQ,FACT LTD,0
1614,FAIRCHEMOR-EQ,FAIRCHEM ORGANICS LIMITED,0
24153,FALCONTECH-ST,FALCON TECHNOPROJ IND LTD,0
12000,FAZE3Q-EQ,FAZE THREE LIMITED,0
6198,FCL-EQ,FINEOTEX CHEMICAL LIMITED,0
30041,FCONSUMER-BE,FUTURE CONSUMER LIMITED,0
11999,FCSSOFT-EQ,FCS SOFTWARE SOLN. LTD.,0
4898,FDC-EQ,FDC LIMITED,0
1023,FEDERALBNK-EQ,FEDERAL BANK LTD,0
20322,FEDFINA-EQ,FEDBANK FINANCIAL SER L,0
13812,FEL-BZ,FUTURE ENTERPRISES LTD,0
17006,FELDVR-BE,FUTURE ENTERPRISES LTD,0
573,FELIX-SM,FELIX INDUSTRIES LTD.,0
8159,FIBERWEB-EQ,FIBERWEB INDIA LIMITED,0
9858,FIDEL-SM,FIDEL SOFTECH LIMITED,0
13710,FIEMIND-EQ,FIEM INDUSTRIES LIMITED,0
24532,FILATEX-EQ,FILATEX INDIA LTD,0
23647,FILATFASH-EQ,FILATEX FASHIONS LIMITED,0
1038,FINCABLES-EQ,FINOLEX CABLES LTD,0
3744,FINEORG-EQ,FINE ORGANIC IND. LTD.,0
12578,FINIETF-EQ,ICICIPRAMC-ICICIFIN,0
6579,FINOPB-EQ,FINO PAYMENTS BANK LTD,0
1041,FINPIPE-EQ,FINOLEX INDUSTRIES LTD,0
12032,FIVESTAR-EQ,FIVE-STAR BUS FIN LTD,0
20372,FLAIR-EQ,FLAIR WRITING INDUST LTD,0
25516,FLEXITUFF-BE,FLEXITUFF VENTURES INT L,0
14868,FLFL-BZ,FUT LIFESTYLE FASH LTD,0
13750,FLUOROCHEM-EQ,GUJARAT FLUOROCHEM LTD,0
5306,FMCGIETF-EQ,ICICIPRAMC - ICICIFMCG,0
1190,FMGOETZE-EQ,FEDERAL-MOGUL GOETZE (IND,0
21017,FMNL-EQ,FUTURE MKT NETWORKS LTD,0
7385,FOCE-SM,FOCE INDIA LIMITED,0
6836,FOCUS-EQ,FOCUS LIGHTG & FIXTRS LTD,0
22517,FONEBOX-SM,FONEBOX RETAIL LIMITED,0
6673,FOODSIN-EQ,FOODS & INNS LIMITED,0
11573,FORCEMOT-EQ,FORCE MOTORS LIMITED,0
14592,FORTIS-EQ,FORTIS HEALTHCARE LTD,0
1073,FOSECOIND-EQ,FOSECO INDIA LTD,0
11736,FRETAIL-BZ,FUTURE RETAIL LIMITED,0
11501,FROG-SM,FROG CELLSAT LIMITED,0
14628,FSC-BZ,FUTURE SUPP CHAIN SOL LTD,0
14304,FSL-EQ,FIRSTSOURCE SOLU. LTD.,0
11932,FUSION-EQ,FUSION MICRO FINANCE LTD,0
1085,GABRIEL-EQ,GABRIEL INDIA LTD,0
8828,GAEL-EQ,GUJARAT AMBUJA EXPORTS LT,0
4717,GAIL-EQ,GAIL (INDIA) LTD,0
1315,GALAXYSURF-EQ,GALAXY SURFACTANTS LTD,0
13341,GALLANTT-BE,GALLANTT ISPAT LIMITED,0
20303,GANDHAR-EQ,GANDHAR OIL REFINE IND L,0
14116,GANDHITUBE-EQ,GANDHI SPL. TUBES LTD,0
6944,GANECOS-EQ,GANESHA ECOSPHERE LIMITED,0
5614,GANESHBE-EQ,GANESH BENZOPLAST LIMITED,0
14339,GANESHHOUC-EQ,GANESH HOUSING CORP LTD,0
4959,GANGAFORGE-BE,GANGA FORGING LIMITED,0
21399,GANGESSECU-EQ,GANGES SECURITIES LIMITED,0
20886,GANGOTRI-BZ,GANGOTRI TEXTILES LTD.,0
1100,GARFIBRES-EQ,GARWARE TECH FIBRES LTD,0
18018,GATECH-BE,GACM TECHNOLOGIES LIMITED,0
27,GATECHDVR-BE,GACM TECHNOLOGIES LIMITED,0
8510,GATEWAY-EQ,GATEWAY DISTRIPARKS LTD,0
3699,GAYAHWS-BE,GAYATRI HIGHWAYS LIMITED,0
19675,GAYAPROJ-BZ,GAYATRI PROJECTS LTD,0
13658,GEECEE-EQ,GEECEE VENTURES LIMITED,0
17922,GEEKAYWIRE-EQ,GEEKAY WIRES LIMITED,0
2188,GENCON-EQ,GENERIC ENG CONS PROJ LTD,0
10905,GENESYS-EQ,GENESYS INTL CORPN LTD,0
17010,GENSOL-EQ,GENSOL ENGINEERING LTD,0
6600,GENUSPAPER-EQ,GENUS P&B LIMITED,0
11905,GENUSPOWER-EQ,GENUS POWER INFRASTRU LTD,0
11896,GEOJITFSL-EQ,GEOJIT FINANCIAL SER L,0
7862,GEPIL-EQ,GE POWER INDIA LIMITED,0
13776,GESHIP-EQ,THE GE SHPG.LTD,0
16787,GET&D-BE,GE T&D INDIA LIMITED,0
1289,GFLLIMITED-EQ,GFL LIMITED,0
11079,GFSTEELS-BE,GRAND FOUNDRY LTD,0
1127,GHCL-EQ,GHCL LIMITED,0
16696,GHCLTEXTIL-EQ,GHCL TEXTILES LIMITED,0
1139,GICHSGFIN-EQ,GIC HOUSING FINANCE LTD,0
18815,GICL-SM,GLOBE INTL CARRIERS LTD,0
277,GICRE-EQ,GENERAL INS CORP OF INDIA,0
17839,GILLANDERS-EQ,GILLANDERS ARBUTHNOT LTD,0
1576,GILLETTE-EQ,GILLETTE INDIA LTD,0
3172,GILT5YBEES-EQ,RELCAPAMC - NETFGILT5Y,0
1142,GINNIFILA-EQ,GINNI FILAMENTS LTD,0
1145,GIPCL-EQ,GUJ IND POW CO. LTD,0
2366,GIRIRAJ-ST,GIRIRAJ CIVIL DEVP LTD,0
17360,GKWLIMITED-BE,GKW LIMITED,0
1186,GLAND-EQ,GLAND PHARMA LIMITED,0
1153,GLAXO-EQ,GLAXOSMITHKLINE PHARMA LT,0
7406,GLENMARK-EQ,GLENMARK PHARMACEUTICALS,0
8412,GLFL-BE,GUJARAT LEASE FINANCING L,0
1417,GLOBAL-BE,GLOBAL EDUCATION LIMITED,0
17167,GLOBALPET-SM,GLOBAL PET INDUSTRIES LTD,0
13739,GLOBALVECT-BE,GLOBAL VEC HELICORP LTD,0
393,GLOBE-EQ,GLOBE TEXTILES (I) LTD.,0
17424,GLOBUSSPR-EQ,GLOBUS SPIRITS LTD,0
23590,GLOSTERLTD-EQ,GLOSTER LIMITED,0
5265,GLS-EQ,GLENMARK LIFE SCIENCE LTD,0
1168,GMBREW-EQ,G M BREWERIES LTD,0
5204,GMDCLTD-EQ,GUJARAT MINERAL DEV CORP,0
1570,GMMPFAUDLR-EQ,GMM PFAUDLER LIMITED,0
13528,GMRINFRA-EQ,GMR AIRPORTS INFRA LTD,0
8529,GMRP&UI-EQ,GMR POW AND URBAN INFRA L,0
18571,GNA-EQ,GNA AXLES LIMITED,0
1174,GNFC-EQ,GUJ NAR VAL FER & CHEM L,0
14687,GOACARBON-EQ,GOA CARBON LIMITED,0
3963,GOCLCORP-EQ,GOCL CORPORATION LIMITED,0
6964,GOCOLORS-EQ,GO FASHION INDIA LTD,0
1181,GODFRYPHLP-EQ,GODFREY PHILLIPS INDIA LT,0
1607,GODHA-EQ,GODHA CABCON INSULAT LTD,0
23799,GODIGIT-EQ,GO DIGIT GENERAL INS LTD,0
144,GODREJAGRO-EQ,GODREJ AGROVET LIMITED,0
10099,GODREJCP-EQ,GODREJ CONSUMER PRODUCTS,0
10925,GODREJIND-EQ,GODREJ INDUSTRIES LTD,0
