ScripCode,TradingSymbol,Description,InstrumentType
13587,ACE-EQ,ACTION CONST EQUIP LTD,0
11779,ACEINTEG-EQ,ACE INTEGRATED SOLU. LTD.,0
12024,ACI-EQ,ARCHEAN CHEMICAL IND LTD,0
15420,ACL-EQ,ANDHRA CEMENTS LIMITED,0
13688,ACLGATI-EQ,ALLCARGO GATI LIMITED,0
19579,ACSAL-SM,ARVIND AND COMPANY,0
10217,ADANIENSOL-EQ,ADANI ENERGY SOLUTION LTD,0
25,ADANIENT-EQ,ADANI ENTERPRISES LIMITED,0
3563,ADANIGREEN-EQ,ADANI GREEN ENERGY LTD,0
15083,ADANIPORTS-EQ,ADANI PORT & SEZ LTD,0
17388,ADANIPOWER-EQ,ADANI POWER LTD,0
19761,ADFFOODS-EQ,ADF FOODS LIMITED,0
245,ADL-EQ,ARCHIDPLY DECOR LIMITED,0
34,ADORWELD-EQ,ADOR WELDING LTD,0
4953,ADROITINFO-EQ,ADROIT INFOTECH LIMITED,0
14813,ADSL-EQ,ALLIED DIGITAL SERV. LTD,0
14745,ADVANIHOTR-EQ,ADVANI HOT.& RES.(I) LTD,0
18039,ADVENZYMES-EQ,ADVANCED ENZYME TECH LTD,0
40,AEGISLOG-EQ,AEGIS LOGISTICS LIMITED,0
18268,AEROFLEX-EQ,AEROFLEX INDUSTRIES LTD,0
9810,AETHER-EQ,AETHER INDUSTRIES LIMITED,0
11343,AFFLE-EQ,AFFLE (INDIA) LIMITED,0
24160,AFIL-BE,AKME FINTRADE (INDIA) LTD,0
3389,AGARIND-EQ,AGARWAL INDS CORP LTD.,0
14267,AGARWALFT-ST,AGARWAL FLOAT GLASS I LTD,0
1412,AGI-EQ,AGI GREENPAC LIMITED,0
10491,AGNI-SM,AGNI GREEN POWER LTD,0
11072,AGRITECH-EQ,AGRI-TECH (INDIA) LIMITED,0
9046,AGROPHOS-EQ,AGRO PHOS INDIA LIMITED,0
7927,AGSTRA-EQ,AGS TRANSACT TECH LTD,0
15147,AGUL-SM,A G UNIVERSAL LIMITED,0
10770,AHIMSA-ST,AHIMSA INDUSTRIES LTD.,0
13288,AHL-EQ,ABANS HOLDINGS LIMITED,0
2007,AHLADA-BE,AHLADA ENGINEERS LIMITED,0
19438,AHLEAST-EQ,ASIAN HOTELS (EAST) LTD,0
